species_code,scientific_name,body_mass_g,beak_length_culmen,beak_length_nares,beak_width,wing_length,trophic_niche
stthum1,Eupherusa eximia,4.3,19.5,15,1.8,55.3,Nectarivore
whnjac1,Florisuga mellivora,7.4,23.6,16.7,2.6,67.8,Nectarivore
plcsta,Heliomaster constantii,7.3,35.8,32.3,2.5,62.7,Nectarivore
lobsta1,Heliomaster longirostris,6.6,35,29,2.7,58.4,Nectarivore
pucfai1,Heliothryx barroti,5.5,21.9,16.2,2.2,63.8,Nectarivore
amthum1,Lampornis amethystinus,5.2,24.6,19,2.7,65.4,Nectarivore
gtmgem1,Lampornis viridipallens,5.3,22.7,17.5,2.1,63.4,Nectarivore
gathum1,Lamprolaima rhami,7.8,21.1,15.4,2.3,78,Nectarivore
blccoq1,Lophornis helenae,2.6,14.4,10.3,1.4,39.4,Nectarivore
lobher,Phaethornis longirostris,6,41.8,34.9,3.3,61.2,Nectarivore
stther2,Phaethornis striigularis,3,23.7,19.6,2.4,39.1,Nectarivore
brthum,Selasphorus platycercus,3.5,21.1,17,2.1,49,Nectarivore
crowoo1,Thalurania colombica,4.5,20.4,17.6,2.3,52.3,Nectarivore
batbar1,Threnetes ruckeri,5.2,33.4,27.3,3,56.6,Nectarivore
spthum1,Tilmatura dupontii,2.2,15.2,12.2,1.4,36,Nectarivore
turvul,Cathartes aura,1518.2,51.5,27.6,14.3,508.5,Scavenger
lyhvul1,Cathartes burrovianus,935,50.4,25.2,13.1,485.8,Scavenger
blkvul,Coragyps atratus,1881.7,60,35,14.8,410.1,Scavenger
kinvul1,Sarcoramphus papa,3400,61.9,46,22.8,508.2,Scavenger
NA,Burhinus bistriatus,787,49.8,25.4,10.4,241.8,Invertivore
NA,Charadrius collaris,28.3,17.3,11.4,3.3,95.6,Aquatic predator
pipplo,Charadrius melodus,54.4,15,7.9,3.7,115.4,Aquatic predator
NA,Charadrius nivosus,42.3,16.8,9.8,2.9,102.5,Aquatic predator
semplo,Charadrius semipalmatus,46.7,14.5,8.5,3.2,118.4,Aquatic predator
killde,Charadrius vociferus,96.4,21.5,13.1,3.5,158.8,Omnivore
NA,Charadrius wilsonia,55.1,22.9,14.1,4.6,117.4,Aquatic predator
amgplo,Pluvialis dominica,151.5,26.3,15.6,3.8,181.8,Invertivore
bkbplo,Pluvialis squatarola,250,32,19.2,5.1,184.4,Aquatic predator
soulap1,Vanellus chilensis,327,35.1,19.2,6.4,226,Omnivore
ameoys,Haematopus palliatus,601.5,86,66.6,8.2,246.8,Aquatic predator
norjac,Jacana spinosa,94,31.9,18.7,4.1,128,Aquatic predator
brnnod,Anous stolidus,177.8,45.6,25.2,4.7,265.4,Aquatic predator
blkter,Chlidonias niger,65.3,31.1,18.4,3.5,201.7,Aquatic predator
gubter2,Gelochelidon nilotica,218.3,42.1,27,6.2,308.1,Omnivore
caster1,Hydroprogne caspia,655,78.7,49.1,10.4,410.7,Aquatic predator
euhgul1,Larus argentatus,1091,74,24.5,8.9,430.8,Aquatic predator
ribgul,Larus delawarensis,516.3,48.1,19.6,6.2,366,Omnivore
kelgul,Larus dominicanus,952.4,64.7,23.4,8.6,402,Omnivore
lbbgul,Larus fuscus,762.4,62.3,23,7.9,412.2,Aquatic predator
heegul,Larus heermanni,500,56.3,18,6,336.2,Aquatic predator
gbbgul,Larus marinus,1649.7,79.1,28,10.2,478.2,Omnivore
briter1,Onychoprion anaethetus,119.4,45.5,28.4,5.4,273.6,Aquatic predator
sooter1,Onychoprion fuscatus,185.7,47.9,29.3,5.4,280.7,Aquatic predator
bklkit,Rissa tridactyla,416,44.5,18.8,5.3,301,Aquatic predator
blkski,Rynchops niger,297.7,83.7,69.4,7.4,365.7,Aquatic predator
roster,Sterna dougallii,112,45.3,28.9,3.6,223.8,Aquatic predator
forter,Sterna forsteri,149,45.3,28,4.9,252.6,Aquatic predator
comter,Sterna hirundo,129.2,44.5,24.2,3.8,253.3,Aquatic predator
leater1,Sternula antillarum,45.9,29.5,19.8,3.1,165.1,Aquatic predator
eleter1,Thalasseus elegans,260,64.4,44.6,5.8,296.6,Aquatic predator
royter1,Thalasseus maximus,415.3,73.7,45.5,8.4,363.7,Aquatic predator
santer1,Thalasseus sandvicensis,199.8,60.5,40.5,5.5,288.5,Aquatic predator
sabgul,Xema sabini,198,32.1,13.4,4.4,265,Aquatic predator
ameavo,Recurvirostra americana,304.5,91.2,73.9,6.6,218.2,Aquatic predator
sposan,Actitis macularius,40.4,25.7,16.2,2.7,100.4,Aquatic predator
rudtur,Arenaria interpres,136,25.4,15.7,3.9,148.8,Aquatic predator
uplsan,Bartramia longicauda,158.9,32.9,21.5,3.4,159,Invertivore
sander,Calidris alba,51.7,30,21.2,3.4,119.6,Aquatic predator
dunlin,Calidris alpina,51.9,36.9,28.1,2.9,115.1,Aquatic predator
baisan,Calidris bairdii,41,25.5,19.3,2.7,121.8,Aquatic predator
redkno,Calidris canutus,141.9,37.5,26.6,4.1,164.4,Aquatic predator
whrsan,Calidris fuscicollis,43,26.5,18.8,2.9,118.4,Aquatic predator
stisan,Calidris himantopus,57.2,43,35,2.8,126.8,Aquatic predator
wessan,Calidris mauri,27.8,21,15.8,2.3,92.2,Aquatic predator
pecsan,Calidris melanotos,79.7,32.1,23.1,3.4,125.2,Aquatic predator
leasan,Calidris minutilla,22.9,20.3,15.1,2.4,86.4,Aquatic predator
semsan,Calidris pusilla,27.5,22.2,15.9,2.6,92.7,Aquatic predator
surfbi,Calidris virgata,201,29,15.9,4.2,173,Aquatic predator
wilsni1,Gallinago delicata,112.9,66.9,57.7,4.6,128.4,Aquatic predator
shbdow,Limnodromus griseus,110.5,61,53.1,4.4,143,Aquatic predator
lobdow,Limnodromus scolopaceus,104.4,70.7,61.9,4.5,145.5,Aquatic predator
margod,Limosa fedoa,357,112.5,93.7,6.8,224.8,Aquatic predator
hudgod,Limosa haemastica,253.3,86.2,73.1,5.2,210.2,Aquatic predator
lobcur,Numenius americanus,583.9,164,141.5,7.6,266.8,Omnivore
whimbr5,Numenius phaeopus,364.6,92.1,67.1,6.6,233,Omnivore
redpha1,Phalaropus fulicarius,55.6,31.4,27.1,2.9,126.3,Aquatic predator
renpha,Phalaropus lobatus,36.7,24.4,19.1,2.5,109,Aquatic predator
lesyel,Tringa flavipes,77.5,41.4,30.6,2.9,152.6,Aquatic predator
wantat1,Tringa incana,108.2,45.1,29.1,3.5,164.6,Aquatic predator
greyel,Tringa melanoleuca,161.7,59.9,45.9,4.8,194.5,Aquatic predator
willet1,Tringa semipalmata,245.7,67.4,46,4.5,203.5,Aquatic predator
solsan,Tringa solitaria,48.4,32.7,25.4,2.7,126.6,Aquatic predator
parjae,Stercorarius parasiticus,444.3,36.1,12,5.7,310.5,Aquatic predator
pomjae,Stercorarius pomarinus,692.5,45.8,16.1,7.2,350.8,Aquatic predator
jabiru,Jabiru mycteria,5996.3,309.5,251.8,39.6,640.8,Aquatic predator
woosto,Mycteria americana,2554.5,224.5,187.7,34.6,455.9,Aquatic predator
blgdov1,Claravis pretiosa,68.2,16.6,9.8,3.2,110.8,Granivore
rocpig,Columba livia,354.2,23.2,12.1,4.3,219.6,Granivore
incdov,Columbina inca,47.5,16.1,7.1,3.5,92.5,Granivore
pbgdov1,Columbina minuta,32.6,12.4,7.1,2.4,76,Granivore
cogdov,Columbina passerina,35.4,13.9,8.2,2.5,81.6,Omnivore
rugdov,Columbina talpacoti,46,14.2,8.3,3.1,86.8,Granivore
ruqdov,Geotrygon montana,133.9,19.5,9,3.5,136.5,Omnivore
grcdov1,Leptotila cassinii,159,17.9,8.8,3.4,132.3,Granivore
cardov1,Leptotila jamaicensis,165,21.8,11.5,3,147,Granivore
gyhdov1,Leptotila plumbeiceps,170,20.6,6.5,2.9,141,Granivore
whtdov,Leptotila verreauxi,146.9,19.5,10,3.6,136.7,Granivore
mcgdov1,Paraclaravis mondetoura,89.7,18.1,7,2.8,116.9,Granivore
pavpig2,Patagioenas cayennensis,229,24.5,12.1,4.6,180.3,Frugivore
batpig1,Patagioenas fasciata,366.3,24.9,18.9,7.5,206.9,Granivore
rebpig1,Patagioenas flavirostris,270.8,23,11.2,4,186.9,Frugivore
whcpig2,Patagioenas leucocephala,240.1,27.8,13.9,5.3,190.8,Frugivore
shbpig,Patagioenas nigrirostris,176,21.7,11.5,5,162,Frugivore
scapig2,Patagioenas speciosa,258.5,24.5,12.3,4.8,184.7,Frugivore
eucdov,Streptopelia decaocto,149,20.9,9.6,3.9,173.7,Omnivore
whwdov,Zenaida asiatica,153,24,14.4,4.2,160.8,Granivore
zendov,Zenaida aurita,156,22.1,8,2.8,149,Omnivore
moudov,Zenaida macroura,118.9,19.6,9.3,2.7,144.4,Granivore
wfqdov1,Zentrygon albifacies,238,24.7,10.9,3.7,141.4,Omnivore
ampkin1,Chloroceryle aenea,13.8,31,24,5,55.9,Aquatic predator
amakin1,Chloroceryle amazona,126.4,69.4,57.6,11.6,130.5,Aquatic predator
grnkin,Chloroceryle americana,33.7,42,34.2,6.2,76.8,Aquatic predator
belkin1,Megaceryle alcyon,148,58.6,44.8,9.5,158.8,Aquatic predator
rinkin1,Megaceryle torquata,317,83.6,65.2,14.9,191.3,Aquatic predator
bltmot1,Aspatha gularis,62.7,30.7,20,8.7,100.4,Invertivore
kebmot1,Electron carinatum,64.9,37.8,28.9,14.8,114.4,Invertivore
tubmot1,Eumomota superciliosa,62.5,42.4,31,11.9,110.6,Invertivore
todmot1,Hylomanes momotula,29.3,25.5,18.9,8.5,71.4,Invertivore
bucmot2,Momotus lessonii,115,43.4,28.8,9.9,138,Omnivore
rucmot1,Momotus mexicanus,75.7,38,26.6,9.1,115.7,Invertivore
yebcuc,Coccyzus americanus,64,29.2,20,7,143.4,Invertivore
bkbcuc,Coccyzus erythropthalmus,50.9,27,17,5.7,136.9,Invertivore
mancuc,Coccyzus minor,63.9,31.3,20.6,6.8,135,Invertivore
smbani,Crotophaga ani,110.1,30.6,18.4,9.9,144,Omnivore
grbani,Crotophaga sulcirostris,82,26.9,17.7,9.5,129.3,Invertivore
phecuc1,Dromococcyx phasianellus,84.5,26.6,16.2,5.5,162.8,Invertivore
lesroa1,Geococcyx velox,179.9,42.8,24.9,8.7,141.7,Invertivore
legcuc1,Morococcyx erythropygus,64.5,25.2,14.9,5.6,99,Invertivore
squcuc1,Piaya cayana,102,32,18.9,8.8,145.5,Invertivore
strcuc1,Tapera naevia,48.4,19.8,12.4,5.1,106,Invertivore
NA,Caracara cheriway,1078.6,48.3,31.1,14,386,Omnivore
merlin,Falco columbarius,188.5,16.6,11.8,8,199.6,Vertivore
aplfal,Falco femoralis,335.8,21.4,14.8,10.8,245.1,Vertivore
perfal,Falco peregrinus,760,31.1,18.4,13.7,314.7,Vertivore
batfal1,Falco rufigularis,163.6,19.6,12,9.7,198.8,Vertivore
amekes,Falco sparverius,114.6,17.1,11,8.4,182.4,Omnivore
laufal1,Herpetotheres cachinnans,623.6,33.2,18.3,12.6,272.4,Vertivore
baffal1,Micrastur ruficollis,177.6,21.4,11.8,8.2,167.1,Vertivore
coffal1,Micrastur semitorquatus,621.7,32,18.7,10.8,267.7,Vertivore
grecur1,Crax rubra,4133,53,24.5,11.9,381.2,Frugivore
horgua1,Oreophasis derbianus,2071.5,42.7,20.7,10.3,370.5,Frugivore
whbcha1,Ortalis leucogastra,495.8,30.7,13.9,7.7,208.6,Frugivore
wemcha1,Ortalis poliocephala,760,33,17.3,10.1,260,Frugivore
placha,Ortalis vetula,562.6,28.3,12.2,6.9,198,Frugivore
cregua1,Penelope purpurascens,2060,45.8,18.2,10.1,379.7,Frugivore
higgua1,Penelopina nigra,890,30.8,14.5,7.8,239.7,Frugivore
crebob1,Colinus cristatus,134.5,14.7,8.7,6.1,99.8,Omnivore
bltbob1,Colinus nigrogularis,129.8,14.5,9.8,7.4,102,Omnivore
norbob,Colinus virginianus,171.9,14.9,8.6,7,109.8,Omnivore
ocequa1,Cyrtonyx ocellatus,199.2,15.2,9.9,7.1,120.6,Omnivore
sinqua1,Dactylortyx thoracicus,201.8,16,9.1,6.6,125.6,Omnivore
bcwpar1,Dendrortyx leucophrys,367.4,19.2,10.7,9.1,149.2,Omnivore
spwqua1,Odontophorus guttatus,303.8,19.8,10.8,8.5,145.8,Omnivore
ocetur1,Meleagris ocellata,5525,39.8,22.3,14.4,362.5,Omnivore
compea,Pavo cristatus,4154.8,49.1,22.8,13,445.2,Omnivore
limpki,Aramus guarauna,1080,130.4,84.9,8.8,241.2,Aquatic predator
sungre1,Heliornis fulica,132,32.4,16.3,4.4,141.5,Aquatic predator
unicra1,Amaurolimnas concolor,133,28.6,15.5,3.5,123.8,Omnivore
runwor1,Aramides albiventris,514,51.3,27.9,5.3,178.7,Aquatic predator
rnwrai1,Aramides axillaris,292,40.5,21.8,5.1,166.2,Aquatic predator
gycwor1,Aramides cajaneus,397,51.3,27.9,5.3,178.7,Aquatic predator
y00475,Fulica americana,636.7,37.3,14.8,5.9,183.1,Herbivore aquatic
commoo3,Gallinula chloropus,339.6,33.9,13.2,4.3,165.5,Omnivore
comgal1,Gallinula galeata,339.6,31.4,15.8,5.4,176.1,Omnivore
grbcra1,Laterallus exilis,33.5,17.5,8.6,2.6,73.4,Aquatic predator
rudcra1,Laterallus ruber,44.4,20.6,10.5,3.2,81.5,Aquatic predator
sporai,Pardirallus maculatus,171,43.4,28.9,4.5,121.8,Aquatic predator
sora,Porzana carolina,74.8,20.4,10.1,3,102.5,Omnivore
clarai11,Rallus crepitans,306,64.7,20.9,3.8,148,Aquatic predator
eurwar1,Acrocephalus scirpaceus,12.3,18.2,8.7,3.2,65.3,Invertivore
bushti,Psaltriparus minimus,5.3,7.8,4.6,2.4,45.2,Invertivore
cedwax,Bombycilla cedrorum,31.6,15.1,6.6,4.5,95.4,Frugivore
norcar,Cardinalis cardinalis,42.6,17.6,14.7,9.3,93.5,Omnivore
blfgro1,Caryothraustes poliogaster,41.8,18.3,12.2,8.3,92.9,Frugivore
blubun,Cyanocompsa parellina,15.6,12.4,8.7,5.5,68,Frugivore
bubgro1,Cyanoloxia cyanoides,32.5,19.6,14.9,10.2,79.6,Granivore
grtcha1,Granatellus sallaei,9.9,13.3,8.6,3.9,59.5,Invertivore
rebcha1,Granatellus venustus,10.8,14.4,8.6,3.8,60.8,Invertivore
NA,Habia fuscicauda,36.8,20.2,13.4,7.3,95.7,Invertivore
rcatan1,Habia rubica,32.5,18.1,11.9,6.9,92.5,Invertivore
blugrb1,Passerina caerulea,27.4,17,12.3,7.4,86.1,Invertivore
paibun,Passerina ciris,15.5,11.7,7.6,4.9,69.6,Granivore
indbun,Passerina cyanea,14.7,11.7,7.6,5.1,64.8,Granivore
orbbun1,Passerina leclancherii,14,11.7,8.2,5.3,66.6,Granivore
robbun1,Passerina rositae,20,15,11.1,5.9,69.9,Granivore
varbun,Passerina versicolor,12.9,11.2,7.6,4.8,67.7,Omnivore
yelgro,Pheucticus chrysopeplus,77.6,23,16.6,11.4,111.2,Frugivore
robgro,Pheucticus ludovicianus,42,18.6,11.8,8.8,101.3,Omnivore
flctan,Piranga bidentata,36.1,20.7,13.5,7.6,97.1,Invertivore
heptan,Piranga flava,37.7,19.2,14.8,8.5,93.6,Invertivore
whwtan1,Piranga leucoptera,16,15.8,10.6,6.7,72.5,Frugivore
westan,Piranga ludoviciana,28.1,18.5,11.2,6.3,94.8,Invertivore
scatan,Piranga olivacea,28.2,18.8,11.5,7.2,92.6,Invertivore
rottan1,Piranga roseogularis,24,16.9,10.6,7.9,78.6,Invertivore
sumtan,Piranga rubra,29.1,19.2,13.3,8.4,92,Invertivore
dickci,Spiza americana,26.2,15.1,9.8,5.5,77.9,Omnivore
brncre,Certhia americana,8.1,16.2,9.6,2,63.6,Invertivore
amedip,Cinclus mexicanus,56.7,21.6,11.7,3.4,89.1,Aquatic predator
unijay1,Aphelocoma unicolor,124,35,19.8,10.6,168.9,Omnivore
comrav,Corvus corax,928,77,49.2,21.9,419.7,Omnivore
stejay,Cyanocitta stelleri,128,33.7,21.1,10.2,145.8,Omnivore
bucjay1,Cyanocorax melanocyaneus,101,33.4,19.4,10.6,136.2,Invertivore
grnjay,Cyanocorax yncas,78.5,29.6,16.2,9.3,121.5,Omnivore
yucjay1,Cyanocorax yucatanicus,118,35.9,22.6,11.3,141.9,Omnivore
azhjay1,Cyanolyca cucullata,101.3,32,18.2,10.2,123.9,Omnivore
bltjay1,Cyanolyca pumilo,47,27.3,15,7.4,117.6,Invertivore
lovcot1,Cotinga amabilis,71.5,17.9,9.4,5.3,108.3,Frugivore
rufpih1,Lipaugus unirufus,82.1,24,15,7.2,132.4,Frugivore
trimun,Lonchura malacca,12.6,12.2,8.3,7,54.7,Granivore
nutman,Lonchura punctulata,13.6,11.8,8.8,6.7,52.6,Granivore
blfant1,Formicarius analis,62.2,21.8,13.5,5.7,89.7,Invertivore
blcchl1,Chlorophonia occipitalis,25.8,12.6,6.1,4.7,76.7,Frugivore
thbsee1,Crithagra burtoni,30.5,16.8,12.4,8.7,87.7,Granivore
screup1,Euphonia affinis,10,9.3,5,3.7,53.4,Frugivore
NA,Euphonia elegantissima,15,9.8,4.6,4,66.7,Frugivore
olbeup1,Euphonia gouldi,14,12.2,6.5,4.6,53.3,Frugivore
yeteup1,Euphonia hirundinacea,14,10.8,6.6,5.2,60.3,Frugivore
whveup1,Euphonia minuta,10,10.6,5.7,4.1,51.4,Frugivore
houfin,Haemorhous mexicanus,21.4,10.6,8.4,6.6,77.2,Granivore
redcro,Loxia curvirostra,38.3,19,16.1,6.8,96,Granivore
blcsis1,Spinus atriceps,13.5,13.4,9,4.2,67.2,Granivore
blhsis1,Spinus notatus,10.9,13.4,9.7,4.6,65.2,Granivore
pinsis,Spinus pinus,12.7,14,9,4.3,72.4,Granivore
lesgol,Spinus psaltria,8.8,10.2,7.8,4.7,60.9,Granivore
stfgle1,Anabacerthia variegaticeps,27.8,17,10.9,3.6,85.2,Invertivore
btfgle1,Automolus ochrolaemus,40.2,22.7,15,4.8,87.1,Invertivore
rufgle1,Clibanornis rubiginosus,39.8,26.4,16.4,4.7,85.8,Invertivore
tawwoo1,Dendrocincla anabatina,34.2,24.8,16.4,6,96.8,Invertivore
rudwoo1,Dendrocincla homochroa,39.4,24.6,17,5.2,99.3,Invertivore
nobwoo1,Dendrocolaptes sanctithomae,66.9,38.8,27.6,8.8,125.8,Invertivore
webwoo1,Glyphorynchus spirurus,14.6,13.7,9.7,4.4,68.7,Invertivore
spcwoo1,Lepidocolaptes affinis,35,31.4,22.4,4,108.4,Invertivore
sthwoo1,Lepidocolaptes souleyetii,25.7,32.7,23.6,4.1,92.3,Invertivore
sctlea1,Sclerurus guatemalensis,34.7,21.8,16.6,4,87.7,Invertivore
tatlea1,Sclerurus mexicanus,25.1,24,18.1,3.6,79.1,Invertivore
oliwoo1,Sittasomus griseicapillus,13.1,16.1,10.9,4,76.7,Invertivore
rubspi2,Synallaxis erythrothorax,17.1,19.1,9.8,3.2,55.5,Invertivore
plaxen4,Xenops minutus,10.6,13.1,8.6,2.8,55.7,Invertivore
stbwoo1,Xiphocolaptes promeropirhynchus,93,50.6,37.9,8.3,135.3,Invertivore
spowoo1,Xiphorhynchus erythropygius,46.8,34.8,25.2,5.4,115.6,Invertivore
ivbwoo1,Xiphorhynchus flavigaster,46.2,41.8,30.3,5.6,114.1,Invertivore
cocwoo1,Xiphorhynchus susurrans,46.7,36,27.2,5.4,101.8,Invertivore
scaant1,Grallaria guatimalensis,94.2,30.8,16.1,7,105.8,Invertivore
blcswa1,Atticora pileata,12.2,7.7,4,3.4,93.3,Invertivore
barswa,Hirundo rustica,17.9,12.4,6,4.5,115.8,Invertivore
cavswa,Petrochelidon fulva,19,10.5,5.6,4.6,102.9,Invertivore
cliswa,Petrochelidon pyrrhonota,21.6,11.3,5.9,4.5,109.3,Invertivore
gybmar,Progne chalybea,50,15.3,7.8,5.6,130.6,Invertivore
sinmar1,Progne sinaloae,42.6,14.7,7.8,5.4,138.9,Invertivore
purmar,Progne subis,53.8,16.8,9.4,5.9,147.2,Invertivore
banswa,Riparia riparia,12.7,9.4,5,3.7,101.8,Invertivore
nrwswa,Stelgidopteryx serripennis,15.7,10.5,4.8,3.4,107.5,Invertivore
manswa1,Tachycineta albilinea,16.7,12.1,6.4,4.2,99.3,Invertivore
treswa,Tachycineta bicolor,21.2,10.8,5.9,3.8,115.9,Invertivore
vigswa,Tachycineta thalassina,14.1,9.9,5,3.6,115.5,Invertivore
rewbla,Agelaius phoeniceus,50.8,22.7,15.4,5.6,118,Granivore
yebcac1,Amblycercus holosericeus,70.4,30.3,21.3,7,94.6,Invertivore
yewcac1,Cassiculus melanicterus,81.3,40,27.9,7.3,145.8,Invertivore
melbla1,Dives dives,91.3,29.8,18.2,7,120.2,Omnivore
boboli,Dolichonyx oryzivorus,31.5,16.2,9.8,5.9,90.2,Granivore
yebcha,Icteria virens,24.9,16.3,10.5,4.8,76.5,Invertivore
oraori1,Icterus auratus,32.1,20.2,13.2,4.7,94.6,Omnivore
yebori1,Icterus chrysater,53.4,25.7,15.9,6.1,96.2,Omnivore
hooori,Icterus cucullatus,24.3,21.2,13.9,4.3,83.4,Omnivore
balori,Icterus galbula,32.8,21.1,13.3,5,92.1,Invertivore
altori,Icterus gularis,55.2,25.8,18.4,7.5,116.4,Omnivore
bawori1,Icterus maculialatus,37.4,24.1,13.6,4.8,95.9,Omnivore
yetori1,Icterus mesomelas,39.9,25.9,16.3,5.8,96.2,Invertivore
spbori,Icterus pectoralis,46.5,23.7,14.5,5.3,102.8,Invertivore
bkcori,Icterus prosthemelas,28,20.6,12.8,4.5,83.6,Omnivore
stbori,Icterus pustulatus,36.8,22.9,14.9,5.2,95.4,Invertivore
orcori,Icterus spurius,19.4,17.2,11.6,4.4,77,Invertivore
bkvori,Icterus wagleri,41.8,24.2,15.2,4.5,101.2,Invertivore
brocow,Molothrus aeneus,62.6,22.2,14.7,6.1,108,Granivore
bnhcow,Molothrus ater,40.3,17.6,11.1,5.8,105,Invertivore
giacow,Molothrus oryzivorus,181.9,35.5,21.4,9.3,173.6,Omnivore
monoro1,Psarocolius montezuma,309.9,67.8,44.6,11.4,220,Omnivore
chhoro1,Psarocolius wagleri,155.5,57.9,34.8,11.5,182,Omnivore
grtgra,Quiscalus mexicanus,160.5,43.3,29.2,8.2,168.6,Omnivore
easmea,Sturnella magna,91.8,33.5,20,6.1,108.1,Invertivore
grycat,Dumetella carolinensis,35.3,19.2,11.1,4,90.7,Invertivore
blacat1,Melanoptila glabrirostris,35.4,20.9,11.6,4.2,92.2,Invertivore
bawmoc1,Melanotis hypoleucus,68,29.4,17.6,5.1,107.4,Invertivore
tromoc,Mimus gilvus,52,22.9,13.9,5.1,105.8,Invertivore
amepip,Anthus rubescens,20.7,14.5,9.4,3.1,85,Invertivore
gobwar1,Basileuterus belli,10.7,12.3,7.3,3.6,59.7,Invertivore
gcrwar,Basileuterus culicivorus,10.5,12.8,7.8,4,59.5,Invertivore
NA,Basileuterus lachrymosus,25.6,16.4,8.9,4.6,74.3,Invertivore
rucwar,Basileuterus rufifrons,10.4,12.3,7.6,4.1,54.5,Invertivore
canwar,Cardellina canadensis,10,13,7.2,4,62.5,Invertivore
wlswar,Cardellina pusilla,7,11.6,6.6,3.2,56.3,Invertivore
refwar,Cardellina rubrifrons,8.1,11.7,6.8,3.5,67.5,Invertivore
pihwar1,Cardellina versicolor,10,10.7,6.3,3.2,60.7,Invertivore
kenwar,Geothlypis formosa,14,13.8,8.7,3.5,66.9,Invertivore
mouwar,Geothlypis philadelphia,11.7,12.5,8,3.3,59,Invertivore
gycyel,Geothlypis poliocephala,14.6,14,8.5,3.7,55.3,Invertivore
macwar,Geothlypis tolmiei,10.4,13.4,7.7,3,58.1,Invertivore
comyel,Geothlypis trichas,9.5,12.7,7.9,3,54.7,Invertivore
woewar1,Helmitheros vermivorum,14.2,15.3,10.2,3.7,68.3,Invertivore
orcwar,Leiothlypis celata,9.2,11.8,7.8,3.8,59.9,Invertivore
tenwar,Leiothlypis peregrina,8.9,10.9,7.8,3.1,62.5,Invertivore
naswar,Leiothlypis ruficapilla,8.1,11.6,7,2.8,56.8,Invertivore
swawar,Limnothlypis swainsonii,18.9,17.8,11.4,3.4,71.6,Invertivore
bawwar,Mniotilta varia,10.9,13.7,9,2.9,68.8,Invertivore
sltred,Myioborus miniatus,9,11.9,7,4.1,63.6,Invertivore
paired,Myioborus pictus,9.8,12,6.7,3.7,73.2,Invertivore
crcwar,Oreothlypis superciliosa,9,13.7,8.6,3.3,62.3,Invertivore
louwat,Parkesia motacilla,19.9,17.1,11,4.2,79.8,Invertivore
norwat,Parkesia noveboracensis,16.3,18.8,9.7,3.5,73.9,Invertivore
prowar,Protonotaria citrea,14.3,17.1,10.8,3.8,68.9,Invertivore
ovenbi1,Seiurus aurocapilla,18.8,15.1,8.9,3.6,73.2,Invertivore
norpar,Setophaga americana,7.8,11.6,7.6,3.1,57.6,Invertivore
btbwar,Setophaga caerulescens,10.1,13,7.4,3.4,62.2,Invertivore
babwar,Setophaga castanea,11.8,13.5,7.9,3.8,69.9,Invertivore
cerwar,Setophaga cerulea,9,14.3,8.2,3.2,65.6,Invertivore
gchwar,Setophaga chrysoparia,9.9,13,8.2,3.5,61.7,Invertivore
hoowar,Setophaga citrina,10.5,13.7,7.9,3.8,64.7,Invertivore
yerwar,Setophaga coronata,11.9,12.6,7.2,3.4,71.6,Invertivore
prawar,Setophaga discolor,7.6,11.8,7.2,2.8,55.5,Invertivore
yetwar,Setophaga dominica,9.7,14.9,9.8,3,67.7,Invertivore
bkbwar,Setophaga fusca,9.7,12.3,8,3.5,65.7,Invertivore
grawar,Setophaga graciae,8.1,13.9,7.6,2.8,65.1,Invertivore
magwar,Setophaga magnolia,8.1,12.1,7.1,3.1,58.4,Invertivore
herwar,Setophaga occidentalis,10.4,12.4,7.7,3.2,66.9,Invertivore
palwar,Setophaga palmarum,10.3,12.9,7.1,2.8,63.7,Invertivore
chswar,Setophaga pensylvanica,9.3,13.4,7.6,3.6,61.6,Invertivore
manwar1,Setophaga petechia,10.2,11.7,8,3.4,60.2,Invertivore
tropar,Setophaga pitiayumi,6.8,12,7.5,3,52.7,Invertivore
amered,Setophaga ruticilla,8.2,12.3,6.8,4,62,Invertivore
bkpwar,Setophaga striata,11.8,13.9,8.7,3.6,74.3,Invertivore
camwar,Setophaga tigrina,10,12.6,7.6,3.2,65.7,Invertivore
towwar,Setophaga townsendi,8.8,12.4,7.4,3,63.8,Invertivore
btnwar,Setophaga virens,8.7,12.5,7.1,3.1,62.1,Invertivore
gowwar,Vermivora chrysoptera,8.7,14.6,9,3.2,60.6,Invertivore
buwwar,Vermivora cyanoptera,8.9,13,8.5,3,58.3,Invertivore
russpa1,Aimophila rufescens,34.3,18.1,11.6,6.2,73.6,Omnivore
graspa,Ammodramus savannarum,17.6,13.8,8.2,4.5,58.2,Invertivore
orbspa1,Arremon aurantiirostris,34.5,16,10.9,6.6,72.7,Omnivore
ccbfin,Arremon brunneinucha,44,19.5,11.8,6.1,80.8,Invertivore
grbspa1,Arremonops chloronotus,27.4,15.9,10.1,5.6,66,Omnivore
olispa,Arremonops rufivirgatus,22.4,15.3,9.5,5,65.3,Omnivore
wnbfin1,Atlapetes albinucha,33.8,17.2,10.6,6.6,73.3,Omnivore
cobtan1,Chlorospingus flavopectus,20,14.7,8.2,4.8,67.3,Invertivore
larspa,Chondestes grammacus,29,15.1,9.7,5.1,85.5,Granivore
yeejun,Junco phaeonotus,20.4,12.9,8.2,4.6,77.7,Omnivore
linspa,Melospiza lincolnii,16.6,13.2,8,4,64,Omnivore
