species_code,scientific_name,body_mass_g,beak_length_culmen,beak_length_nares,beak_width,wing_length,trophic_niche
yucfly1,Myiarchus yucatanensis,19.6,20.6,13.4,6.9,81.4,Invertivore
subfly,Myiodynastes luteiventris,46.9,25.3,16.3,9.8,109.3,Omnivore
strfly1,Myiodynastes maculatus,43.2,25.6,18.4,10.5,107.9,Invertivore
greela,Myiopagis viridicata,11.5,11.8,7.1,3.8,60,Invertivore
socfly1,Myiozetetes similis,28,17.4,9.7,5.5,87,Invertivore
norben1,Oncostoma cinereigulare,6.4,13.8,7.2,4.2,48.5,Invertivore
yebtyr1,Ornithion semiflavum,6.6,8.8,5.4,3,44.8,Invertivore
grekis,Pitangus sulphuratus,62.9,29.3,21.1,10.1,111.9,Omnivore
sttspa1,Platyrinchus cancrominus,9.2,13.7,6.6,6.8,56.8,Invertivore
shtfly1,Poecilotriccus sylvia,7.1,13.8,8.6,4.9,46.8,Invertivore
verfly,Pyrocephalus rubinus,14.4,14.4,9.7,5.4,74.3,Invertivore
eyrfla1,Rhynchocyclus brevirostris,24.3,20.9,10.4,8.3,76.6,Invertivore
rufmou1,Rhytipterna holerythra,36.8,22.7,13.5,7.1,103.1,Invertivore
blkpho,Sayornis nigricans,18.6,18.1,9.9,5.9,86.3,Invertivore
easpho,Sayornis phoebe,19.7,17.4,9.7,5.5,83.9,Invertivore
cotfly1,Todirostrum cinereum,6.3,14.8,9.9,4.8,42.5,Invertivore
yeofly1,Tolmomyias sulphurescens,14.3,13.4,7.4,5.4,63,Invertivore
coukin,Tyrannus couchii,39,26,16.8,10.3,117,Invertivore
thbkin,Tyrannus crassirostris,55.9,30.1,20.6,12.6,126.3,Invertivore
grykin,Tyrannus dominicensis,46.5,30.6,21.6,11.5,116.6,Omnivore
sctfly,Tyrannus forficatus,39.3,22.4,13.9,7.6,121.2,Invertivore
trokin,Tyrannus melancholicus,37.4,23.5,17.4,9.7,108.8,Invertivore
fotfly,Tyrannus savana,31.9,20.1,11.5,6.5,105.6,Invertivore
easkin,Tyrannus tyrannus,39.9,21.5,14.8,8.2,116.7,Invertivore
weskin,Tyrannus verticalis,39.6,21.8,13.5,7.5,126.1,Invertivore
caskin,Tyrannus vociferans,45.6,23.8,14.9,8.5,128.9,Invertivore
belfly1,Xenotriccus callizonus,11.2,13,7.4,4.7,59.2,Invertivore
paltyr3,Zimmerius parvus,9.7,10.1,5,3.4,48.9,Invertivore
paltyr2,Zimmerius vilissimus,9.7,10.1,5.3,3.5,58.1,Invertivore
rubpep1,Cyclarhis gujanensis,28.8,18,11.1,5.8,76.2,Invertivore
lesgre1,Pachysylvia decurtata,8.5,14.6,8.4,3.5,52.5,Invertivore
tacgre2,Tunchiornis ochraceiceps,11.6,15.6,8.7,3.6,57.1,Invertivore
bkwvir,Vireo altiloquus,19,20.6,12,4.5,80.4,Invertivore
cozvir1,Vireo bairdi,12,14.9,7.8,4.1,61.2,Invertivore
belvir,Vireo bellii,8.5,13.5,7,3.7,55.7,Invertivore
casvir,Vireo cassinii,14.7,14.7,7.7,4.1,73.6,Invertivore
yetvir,Vireo flavifrons,18,15.1,8.5,4.3,76.3,Invertivore
yegvir,Vireo flavoviridis,17.6,18.1,9.9,4.4,77.7,Invertivore
eawvir1,Vireo gilvus,12.7,14.3,7.5,3.7,70.1,Invertivore
whevir,Vireo griseus,11.4,13.7,7.4,3.9,61.6,Invertivore
hutvir,Vireo huttoni,11.3,13.1,6.9,3.7,63.2,Invertivore
brcvir1,Vireo leucophrys,12.3,14,7.8,3.8,64.9,Invertivore
yucvir,Vireo magister,15.4,19.6,11.2,4.4,74.9,Invertivore
reevir1,Vireo olivaceus,16.1,16.4,9.6,4.3,77.5,Invertivore
manvir1,Vireo pallens,11,14.4,8,4.1,57,Invertivore
phivir,Vireo philadelphicus,11.5,13.2,6.9,3.4,66.2,Invertivore
plsvir,Vireo plumbeus,16.4,14.8,7.8,4.2,77,Invertivore
buhvir,Vireo solitarius,15.3,13.7,7.5,4,75.3,Invertivore
cssvir1,Vireolanius melitophrys,34.7,20.5,10.7,5.7,81,Invertivore
